48:3.16228 141:2.82843
7110:6 7162:5
7022:4.12311 7142:3.16228
7042:2.23607 7129:3.60555
7004:1.41421 7136:1.41421
7054:1.41421 7149:1
7021:1 7041:1
7067:2 7072:2.23607
7114:1 7154:1
7042:2 7100:2
7062:1.41421 7094:2.82843
7096:2.82843 7153:2.23607
7024:1.41421 7050:3.16228
7085:1.41421 7107:1
7029:2.23607 7116:2
7000:2 7167:1
7004:2 7124:1.41421
7030:1 7094:1
7074:3 7123:3.60555
7037:5 7068:4.12311
7032:2 7055:2.23607
7143:2 7154:2
7110:4.47214 7122:3.16228
7020:2 7114:2
7001:1 7089:1
7005:1 7060:1.41421
7082:4.12311 7099:4
7034:2 7098:2.23607
7001:2 7078:2.23607
7091:2.23607 7125:1
7045:1.41421 7083:1
7062:1.41421 7130:2.82843
7032:1.41421 7055:2.23607
7008:3 7131:2.23607
7109:1 7128:1
7048:1 7108:1.41421
7081:3.16228 7093:3.60555
7012:2.82843 7103:5.65685
7111:1 7117:1.41421
7068:1.41421 7074:5
7101:1.41421 7103:2
7109:1 7150:2
7026:5 7110:1
7010:1 7066:1.41421
7025:1.41421 7088:1
7013:5.09902 7099:6.08276
7050:1 7087:1.41421
7000:1 7135:1
7057:3.16228 7069:3
7007:1.41421 7046:2
7016:1.41421 7018:2.23607
7018:1 7104:1.41421
7126:2 7145:1.41421
7017:4 7080:1
7084:2.23607 7106:3.60555
7182:2.23607 7241:8.06226
7294:5.65685 7397:3.16228
7179:3 7330:1.41421
7307:2.82843 7340:3.60555
7177:3 7330:2.23607
7320:2 7394:2.23607
7300:1.41421 7348:4.24264
7175:2.23607 7396:9
7227:2.82843 7293:3.60555
7193:2.23607 7259:1.41421
7251:7.2111 7316:7.28011
7199:6.08276 7314:1
7268:3 7350:3.60555
7277:4.47214 7313:6.40312
7392:2 7393:5
7211:5 7385:1.41421
7270:4 7338:5.83095
7252:5 7331:4.24264
7184:2.23607 7259:1
7236:2.23607 7344:6.40312
7218:5.09902 7248:7.07107
7274:6.08276 7366:7.2111
7335:1.41421 7376:3.16228
7255:5 7324:10.4403
7186:6.08276 7303:5.38516
7333:5.83095 7338:5.83095
7207:7.07107 7298:5.65685
7178:5 7340:2
7210:2.23607 7365:2
7217:3.16228 7339:5
7316:2.23607 7365:7.2111
7235:4.12311 7378:4
7201:7.07107 7230:11.0454
7310:6.7082 7380:5.83095
7290:2.23607 7347:2.82843
7203:2.23607 7365:3.60555
7190:5 7339:5.09902
7275:9.05539 7383:5.83095
7389:3.16228 7399:2.82843
7308:4.47214 7317:9.84886
7335:6.08276 7390:5.09902
7298:5.09902 7333:6.08276
7204:3.16228 7220:5
7195:5.09902 7206:5.83095
7315:5 7319:1
7329:2 7396:3
7284:4.47214 7361:5
7266:4.47214 7275:4
7280:5.65685 7299:4.47214
7287:2.23607 7295:4
7248:9.05539 7332:6.08276
7233:2.82843 7272:5.09902
7183:2.82843 7370:2.82843
7289:1.41421 7323:2
7389:3.16228 7399:2
7346:9.05539 7376:9.21954
7204:6.32456 7384:7
7312:7 7358:5.65685
7226:2.82843 7272:4.24264
7336:6 7366:6
7240:4.12311 7378:1
7194:2.23607 7344:4.47214
7184:3 7345:3.16228
7234:8.94427 7336:8.24621
7307:3.16228 7317:4.47214
7253:3.16228 7378:4
7175:8.06226 7245:4.12311
7250:3.16228 7285:4.47214
7322:4 7342:5.38516
7263:3.16228 7352:3.60555
7241:4.12311 7393:9.43398
7306:6.32456 7382:2
7271:2.82843 7278:6.32456
7195:7.07107 7225:9.05539
7180:4.47214 7320:4
7242:3.16228 7285:1.41421
7295:7.07107 7387:6.40312
7192:5 7325:3.16228
7240:3.16228 7321:3
7260:6.32456 7318:2.82843
7198:5 7263:8.06226
7276:6.08276 7374:2
7203:7.28011 7274:3.16228
7261:2 7364:2
7184:1.41421 7193:1
7318:5.65685 7356:5.65685
7258:2 7364:4
7326:9.21954 7372:3.60555
7244:3.16228 7352:2.23607
7196:7.61577 7205:10.7703
7240:5.09902 7291:4.12311
7222:4.47214 7275:2
7265:8.06226 7356:4.24264
7187:3 7350:5.83095
7294:6.08276 7306:5
7191:4 7390:5.38516
7247:2.82843 7281:5.09902
7226:5.09902 7233:4.24264
7210:5.38516 7388:5.83095
7257:3.16228 7366:5.38516
7222:4 7266:2
7373:5.83095 7374:4.12311
7188:4.47214 7342:7.81025
7283:5.83095 7398:4.47214
7202:5.38516 7331:5
7286:3.60555 7299:2
7271:5.09902 7313:5
7286:5 7323:7.28011
7309:1 7398:1.41421
7221:4.47214 7361:2.23607
7250:1.41421 7259:3.60555
7280:3.60555 7323:2.82843
7224:2.23607 7295:5.38516
7233:9.05539 7392:9.05539
7323:1.41421 7375:1
7209:2.23607 7347:3
7265:4.12311 7367:5
7301:2 7391:1
7334:2.23607 7370:2.23607
7306:1.41421 7397:5.09902
7224:4 7387:5
7351:2.82843 7379:1
7300:3.60555 7348:1
7201:5.65685 7216:5.09902
7223:4.47214 7280:2
7181:1.41421 7348:2.82843
7292:2 7327:1.41421
7195:10.2956 7248:10.198
7199:5.38516 7305:4.24264
7381:3.16228 7395:2.23607
7303:4.24264 7369:2.23607
7269:5 7294:1.41421
7178:2.82843 7239:3.16228
7214:4.47214 7279:7.81025
7283:1 7398:2.23607
7347:6.40312 7380:1
7224:7.2111 7324:2.23607
7250:5 7285:5
7188:6.40312 7281:5
7186:1 7199:6.32456
7219:5 7319:4
7205:2.23607 7284:5.09902
7239:4.47214 7307:5.83095
7254:2.82843 7260:5.65685
7219:1 7315:4
7180:2 7394:1
7253:3 7367:2.23607
7243:4 7341:7
7289:1.41421 7375:1
7224:6.40312 7311:2.23607
7192:7.81025 7252:3.16228
7262:9.21954 7304:9.05539
7301:1.41421 7391:3
7222:7.07107 7266:5.83095
7220:2 7396:1
7177:1.41421 7179:2.23607
7192:4.24264 7279:5
7225:6.08276 7364:10
7321:5.83095 7367:5
7293:2.23607 7370:1.41421
7197:1.41421 7337:4.47214
7234:6 7238:8.24621
7197:4.24264 7376:4
7191:5.83095 7200:5.83095
7204:5 7211:5.09902
7178:3.60555 7202:2
7282:8.24621 7322:7
7243:5.38516 7277:7.81025
7305:8.48528 7369:9.43398
7354:4.47214 7358:1.41421
7237:3.16228 7285:5.83095
7229:7 7386:3.60555
7209:2.82843 7290:3
7297:1 7300:2.82843
7184:4.12311 7237:4.47214
7187:3.60555 7268:5.83095
7296:2.82843 7379:2.23607
7244:3.60555 7263:2.23607
7210:10.198 7388:5.38516
7344:4.47214 7358:4.24264
7228:5.09902 7289:6.32456
7260:5.65685 7267:4.24264
7304:4.47214 7395:3
7344:1.41421 7354:4.24264
7189:9.05539 7392:9.05539
7243:10.198 7322:10.198
7221:5 7284:2.23607
7227:6.40312 7370:6.7082
7211:12.6491 7339:11.0454
7258:2 7261:4
7203:2 7210:3.60555
7234:6 7274:5.38516
7291:5 7321:2.23607
7302:10.2956 7377:1.41421
7305:2.23607 7373:4.12311
7293:2.23607 7334:1.41421
7226:5.65685 7233:6.32456
7209:6.40312 7262:3.60555
7305:4.24264 7369:4.12311
7256:2 7276:4.12311
7289:1 7323:1
7197:3.16228 7337:4
7302:10.7703 7368:1.41421
7206:4 7235:1
7296:1 7351:2.23607
7208:5.83095 7310:1
7304:3.16228 7395:2.23607
7246:2 7306:6
7212:5.83095 7275:7.2111
7226:6.7082 7272:5.38516
7190:1.41421 7394:5
7215:7 7346:3.60555
7221:5.83095 7295:5
7210:5 7353:5.38516
7213:3.16228 7229:3.16228
7215:5.09902 7270:5.38516
7292:1 7301:2.23607
7189:2 7393:5.38516
7189:5 7392:5.38516
7180:2.23607 7320:1
7304:2.23607 7381:2.23607
7220:3 7329:1
7176:3.16228 7294:5.09902
7283:1.41421 7309:2.23607
7213:2.82843 7229:2
7430:8.06226 7513:9.05539
7626:5.38516 7638:2.23607
7578:2 7646:1
7473:3.60555 7516:4.12311
7475:4.24264 7643:2
7589:7 7646:8.48528
7430:4.47214 7442:5.38516
7467:8.48528 7580:10.4403
7497:4.12311 7597:9.21954
7508:3.60555 7604:3.16228
7463:6.40312 7531:4
7492:2.82843 7672:5.65685
7557:3.60555 7620:3.60555
7502:7.07107 7603:9.84886
7500:2.82843 7627:1
7435:10.198 7674:6.40312
7462:1 7470:2.82843
7618:3 7668:4.12311
7630:1.41421 7660:4.47214
7552:8.60233 7653:3.60555
7565:3.60555 7624:6
7420:7.81025 7624:5
7543:3.60555 7597:2.82843
7427:1 7537:5.09902
7562:11.1803 7674:9.21954
7576:11.0454 7658:16.1245
7468:5.09902 7625:3.60555
7423:1 7537:5.38516
7636:7.61577 7644:3.16228
7636:4.12311 7671:6.40312
7406:4.47214 7442:3.60555
7427:10.2956 7650:1.41421
7513:5.38516 7632:6.40312
7600:4.12311 7672:4.12311
7613:7.81025 7665:10.2956
7415:10.198 7649:10.4403
7506:1 7663:3.16228
7563:12.3693 7613:9.21954
7504:1.41421 7538:2.23607
7516:5 7631:2.23607
7535:1 7570:5.09902
7434:15.1327 7610:14.3178
7406:5.38516 7430:3.60555
7489:11 7582:7.07107
7555:4.12311 7599:7.81025
7427:11.4018 7431:12
7529:5.38516 7566:3.60555
7404:5.83095 7643:4.24264
7532:4 7587:4.12311
7628:6.7082 7651:4.12311
7533:6.08276 7576:12.0416
7469:7.2111 7546:5.38516
7574:2.82843 7661:5.83095
7501:6.7082 7545:4.47214
7488:1 7603:1.41421
7426:5.38516 7625:8.60233
7478:6.40312 7554:4
7401:6 7641:5.38516
7409:8.544 7602:8.94427
7523:3.60555 7543:10.198
7470:6.08276 7585:6.40312
7552:6.08276 7669:4.47214
7416:1 7505:2
7410:6.40312 7481:8.24621
7507:7.07107 7659:6.32456
7498:7.07107 7582:7.61577
7512:6 7593:5.09902
7407:8.48528 7498:2.23607
7526:4.12311 7625:2.23607
7553:3.16228 7590:5
7416:2.82843 7462:3.60555
7512:3 7627:3
7457:10 7641:8.544
7403:3.60555 7516:1.41421
7558:8 7606:12.0416
7404:4.24264 7556:3.60555
7550:3.16228 7588:8.24621
7484:7.07107 7599:5.38516
7554:5 7558:5.65685
7409:6.08276 7659:6.32456
7462:11.1803 7505:9.43398
7526:3.60555 7528:4.47214
7494:7.07107 7666:6.40312
7579:1 7669:7.2111
7477:7.07107 7589:4.12311
7645:2.23607 7665:5.09902
7496:10.6301 7647:12.0416
7582:10.0499 7632:7.61577
7454:1 7603:2.23607
7564:10.8167 7608:7.81025
7540:5.38516 7551:1
7510:3.60555 7561:1
7411:2.82843 7672:8.48528
7528:11 7567:4.12311
7520:5.38516 7666:3.60555
7544:4.24264 7634:4
7486:10.6301 7642:5.38516
7408:4.12311 7597:6.32456
7465:7.07107 7467:2.23607
7520:2.23607 7524:6.7082
7414:2.82843 7627:3.60555
7532:5.83095 7545:2.23607
7413:7.07107 7495:13
7514:4.47214 7546:4
7438:1.41421 7538:2.23607
7462:2 7639:2.23607
7436:1 7663:4.12311
7511:2.23607 7617:2
7409:3.60555 7604:2.23607
7482:8.06226 7666:7.2111
7569:3 7614:3
7507:2.23607 7659:2.23607
7471:3 7627:4.24264
7432:5.38516 7559:5.38516
7469:8.06226 7503:4.47214
7517:5.38516 7628:3.16228
7473:1.41421 7575:3.60555
7515:5.38516 7628:3.60555
7587:6 7671:7.61577
7440:9.21954 7535:9.48683
7494:5.38516 7499:2.23607
7456:8.06226 7621:3
7584:4.12311 7596:2.23607
7459:3.60555 7555:7.28011
7520:5.65685 7666:4.24264
7496:13.6015 7672:11.4018
7481:3.60555 7528:2.23607
7656:2 7670:1
7481:4.47214 7526:2.23607
7544:4.47214 7566:3.16228
7534:4 7615:6.08276
7410:4 7463:9.84886
7448:4 7654:4.12311
7450:6.08276 7576:6
7530:4 7615:7.81025
7440:1 7570:6.08276
7449:7.2111 7651:3.60555
7423:5.09902 7427:5.38516
7438:2.23607 7504:2.23607
7422:3.60555 7543:1.41421
7490:5.38516 7662:1.41421
7514:12.0416 7553:9.05539
7481:6 7528:8.94427
7422:3.60555 7539:1.41421
7574:4 7634:3.16228
7453:4.47214 7501:2.23607
7451:5.38516 7503:4
7401:5.38516 7641:6
7432:7.28011 7607:5.09902
7619:2.23607 7656:7.2111
7476:3.16228 7635:8.06226
7490:1 7540:6.32456
7637:5.83095 7653:5.38516
7469:3.16228 7590:6.7082
7456:4 7478:5
7444:4.12311 7583:5.09902
7404:5 7475:3.60555
7412:3.60555 7592:4.47214
7474:8 7478:5.65685
7430:6.32456 7513:5.38516
7573:1 7642:10.6301
7491:1 7510:3.16228
7424:11.1803 7435:11.1803
7613:5.83095 7665:8.06226
7510:4 7569:1
7420:3.60555 7624:5
7446:3.60555 7529:3.16228
7493:4.12311 7625:10.4403
7595:8.06226 7618:8
7510:3 7564:1
7440:5.09902 7535:6.08276
7584:6.40312 7596:8.06226
7616:6 7673:2.23607
7560:1 7642:11.3137
7452:2.82843 7661:3.16228
7473:5 7516:3.60555
7425:11.0454 7533:6
7549:8.06226 7619:6.32456
7402:2 7646:2.23607
7483:1 7669:6.40312
7548:9.21954 7607:5
7647:4.12311 7648:5.38516
7443:7.07107 7465:7.61577
7555:5.09902 7609:6.08276
7522:4.12311 7596:4.24264
7460:6.40312 7470:6.32456
7570:6.7082 7629:8.48528
7448:4.12311 7671:3.16228
7476:8.24621 7550:8.60233
7405:7 7484:4.12311
7469:5 7553:6.7082
7412:6 7620:3.60555
7412:5.38516 7557:4.47214
7466:5.09902 7512:8.60233
7649:1.41421 7658:1
7483:10.0499 7568:8.06226
7522:2.23607 7584:4.24264
7422:2.82843 7497:6.32456
7503:6.08276 7546:6.7082
7477:5.38516 7504:6.32456
7433:4.12311 7672:8.24621
7440:10 7535:9.21954
7479:7.07107 7648:5.65685
7454:1.41421 7488:2.23607
7409:3.16228 7508:2.23607
7630:4.47214 7660:3.16228
7633:2.23607 7652:5
7548:5.09902 7580:5
7418:10.0499 7489:7.81025
7583:6.08276 7626:8.06226
7530:6.7082 7615:2
7585:7.61577 7596:9.84886
7570:7.61577 7629:9.84886
7434:7.81025 7563:5.83095
7510:3 7569:4.24264
7530:6.08276 7610:2
7572:6 7673:5.38516
7507:2 7511:4.12311
7417:3 7668:7.07107
7549:2.23607 7577:6.32456
7412:3.60555 7591:3.60555
7521:3 7635:8
7565:8.06226 7624:5.65685
7532:4.47214 7654:3.60555
7421:5 7565:5
7426:3.60555 7468:2.23607
7401:5.38516 7638:4
7414:1 7471:3
7515:3.16228 7517:3.60555
7586:8.48528 7612:9.84886
7418:1.41421 7660:3.16228
7439:2.23607 7473:4.47214
7432:6.40312 7487:7.61577
7606:2.23607 7652:7.07107
7544:3.16228 7661:2
7550:8.06226 7621:8
7428:7.61577 7429:4.12311
7552:5.83095 7653:8.544
7401:2.23607 7626:4
7462:2.23607 7505:2.23607
7423:11.7047 7537:6.7082
7457:5.38516 7547:6
7496:5.38516 7560:10.6301
7404:2 7447:4.24264
7428:3.16228 7636:10
7485:2.23607 7665:3
7402:1 7578:2.23607
7581:4.12311 7648:7.2111
7581:5.38516 7602:5.65685
7594:1.41421 7658:2.23607
7431:1.41421 7590:10.198
7449:4.12311 7536:3.60555
7606:5 7633:7.07107
7419:3.60555 7552:5.38516
7532:4.12311 7623:3.60555
7491:5.09902 7561:6.08276
7527:2 7670:2.23607
7508:3.60555 7604:5.09902
7594:1 7649:2.23607
7507:3.16228 7511:2.23607
7605:3.16228 7630:3.16228
7574:3.16228 7634:2
7442:6.32456 7540:1.41421
7436:3.16228 7506:4.12311
7419:14.1421 7637:10
7485:5.09902 7645:3
7494:3.60555 7524:4.24264
7461:7.28011 7579:8.60233
7417:4.12311 7618:7.07107
7461:4.47214 7579:6.40312
7527:1 7656:2.23607
7448:5 7587:3.16228
7411:5.65685 7433:4.12311
7572:2.23607 7616:5.38516
7415:6.40312 7421:8.544
7688:3.60555 7776:5.83095
7747:7.28011 7919:8.60233
7709:5 7790:7.07107
7782:7.07107 7819:5.09902
7758:9.43398 7932:5
7775:5 7873:2
7895:4.24264 7967:3
7897:8.94427 7953:3.60555
7720:4.24264 7883:4
7681:9 7914:11.6619
7788:5.09902 7872:2.23607
7832:8.94427 7916:9.05539
7843:2.23607 7893:5
7675:3.60555 7929:5
7765:10 7812:8
7866:3 7903:4
7750:4.47214 7852:12.1655
7694:3.16228 7706:5.38516
7841:7.07107 7877:8.06226
7692:3.16228 7706:6.40312
7716:6.40312 7973:5.09902
7821:2 7980:2.23607
7801:3 7882:6.08276
7867:10 7982:11.1803
7855:3.60555 7976:6
7707:7.2111 7946:7.07107
7901:11.1803 7927:5
7911:6.40312 7970:6.7082
7781:6.32456 7842:5.83095
7890:11.6619 7891:3.60555
7752:6.40312 7998:6.08276
7692:5.38516 7997:5.65685
7700:7.2111 7828:6.7082
7809:4 7902:6
7677:5 7790:5
7905:5.65685 7939:2
7786:3 7918:3.16228
7676:11.0454 7862:10.2956
7737:2 7960:3.16228
7952:2.23607 7989:6.40312
7901:12.1655 7968:5.09902
7848:1 7973:5
7736:2.23607 7778:7.2111
7834:2.23607 7979:7.2111
7818:9.84886 7889:8.94427
7683:4.24264 7974:3.16228
7714:9.89949 7784:6.40312
7793:6.40312 7917:9.21954
7765:7.28011 7812:13.1529
7760:3.16228 7920:12.1655
7813:13.4164 7884:8.60233
7702:7.2111 7836:4.47214
7829:6 7943:10
7771:6.32456 7806:5.38516
7871:4.47214 7896:5.83095
7849:4 7954:5.65685
7817:5.65685 7847:6.40312
7788:5.83095 7872:4.12311
7815:7.28011 7900:2.82843
7759:6 7825:6.7082
7749:6.7082 7879:6.40312
7717:2.23607 7778:6.40312
7713:2 7960:1.41421
7803:7.07107 7880:2.23607
7802:3.60555 7811:2.23607
7833:10.8167 7935:9.21954
7943:5.83095 7985:5
7702:7.2111 7970:1
7840:12.3693 7959:6.40312
7912:15.5242 7936:16.1245
7759:3.60555 7868:1.41421
7786:10 7945:10.4403
7881:5.83095 7892:6.08276
7797:5.38516 7960:10.198
7879:1.41421 7922:3
7691:4.47214 7852:10.198
7808:9.05539 7939:7.61577
7705:6.40312 7793:8.94427
7728:7.07107 7771:7.07107
7925:2 7941:3.60555
7818:4.24264 7890:3.16228
7885:3.16228 7924:3.16228
7728:8.06226 7831:8.60233
7932:8.94427 7972:7.81025
7745:3.60555 7868:4.12311
7724:3.16228 7741:11.4018
7769:7.61577 7978:7.28011
7678:7.2111 7819:7.07107
7789:7.2111 7852:10
7775:5 7992:8
7723:7.28011 7812:6
7695:10.4403 7973:12.0416
7874:10.198 7909:8.94427
7845:11.1803 7888:3
7814:2.23607 7978:6.40312
7785:4 7964:4.12311
7728:6.32456 7753:7.07107
7875:8.24621 7951:1
7806:5.83095 7910:4
7796:6.32456 7824:6.7082
7680:5 7764:5
7675:5.83095 7997:5.83095
7940:1.41421 7948:5.38516
7736:6.40312 7861:6.08276
7849:5 7976:3
7812:7 7975:7.81025
7703:6.32456 7771:8.60233
7678:7.07107 7828:8.24621
7841:7.28011 7937:8.60233
7721:6.40312 7793:8.06226
7770:4 7985:4.47214
7711:3 7918:1
7949:13.8924 7984:4.12311
7685:5.09902 7872:4.12311
7852:2.82843 7972:4
7709:5 7878:6.7082
7808:8 7823:12.0416
7786:6.7082 7918:6.32456
7722:6.40312 7784:8.06226
7824:6.08276 7928:2.82843
7878:12.8062 7933:11.0454
7774:6.32456 7824:5
7748:5.38516 7865:5.83095
7856:7.07107 7977:7.61577
7730:11 7937:10.4403
7822:12.8062 7871:9.84886
7697:3 7942:7.81025
7739:3.60555 7811:5.83095
7738:7.07107 7915:5
7739:12.3693 7802:10.2956
7829:6.7082 7934:5.83095
7728:5.38516 7910:3.16228
7926:14.0357 7990:14.3178
7751:9.05539 7791:8
7708:4 7902:10
7827:1 7835:5.65685
7739:2.23607 7990:1.41421
7765:6 7780:7
7884:5.09902 7947:7.2111
7769:2.23607 7978:6.32456
7733:7.28011 7900:5
7773:7.07107 7910:5.09902
7731:5.65685 7802:8.48528
7755:4.24264 7890:6.32456
7678:5.09902 7762:7.07107
7859:11.1803 7886:5.83095
7696:2 7980:3.60555
7904:4 7998:6.08276
7749:10.0499 7879:9.21954
7796:5 7928:4.12311
7745:5.83095 7868:4.47214
7874:4.47214 7978:3.60555
7810:1 7835:5
7707:6.7082 7782:8.24621
7727:6 7805:6.7082
7965:5 7986:3.16228
7757:8.60233 7919:6.7082
7686:8.94427 7916:3.16228
7911:2.23607 7970:7
7718:2.23607 7729:6.40312
7821:5 7827:5
7726:4.47214 7991:5.09902
7755:8.60233 7818:10.198
7840:6.32456 7962:3.16228
7680:12.1655 7863:4.12311
7838:6.32456 7857:7.07107
7693:7.07107 7783:7.28011
7703:5.83095 7892:2.82843
7687:2.23607 7844:5.38516
7687:7.07107 7843:5.38516
7711:5.38516 7945:1
7880:10 7988:5.38516
7731:6.40312 7817:9
7716:1 7973:6
7730:4 7779:5
7700:15 7946:11.1803
7969:3.60555 7975:3.60555
7789:2.82843 7972:2.82843
7905:3.16228 7938:3
7885:5 7924:3
7699:3.60555 7987:7.2111
7798:7.07107 7977:11.6619
7840:7.07107 7959:8.48528
7779:6.08276 7954:2.82843
7886:7.81025 7894:5
7690:5.38516 7866:2.82843
7778:6.08276 7908:9
7697:9.89949 7882:6.08276
7764:9.21954 7839:4.12311
7904:5.09902 7998:4.12311
7797:5.83095 7851:7.07107
7690:3 7860:2.82843
7925:8.60233 7982:5
7745:1.41421 7759:4.12311
7893:2 7907:5
7819:12.3693 7949:10.0499
7729:4.47214 7834:8.544
7685:2.23607 7732:4.12311
7680:2 7775:5.38516
7826:4.47214 7978:7
7772:8.24621 7993:4
7920:5.83095 7964:8.24621
7693:8.06226 7772:9.48683
7709:7.61577 7790:6.7082
7749:1.41421 7922:4.12311
7738:2.23607 7803:8.06226
7747:5.83095 7842:6.40312
7697:6.08276 7862:6.08276
7683:4 7996:4.47214
7813:5.09902 7947:7.07107
7756:3.16228 7924:2
7820:5.83095 7859:7.81025
7983:2.82843 7995:4.47214
7768:3 7845:11.0454
7824:8.94427 7928:7
7755:3.16228 7818:6.32456
7704:3.60555 7890:12.0416
7747:6.08276 7842:2.82843
7687:5 7869:2
7859:5 7977:8.544
7681:4.24264 7967:3
7729:5.83095 7979:5.65685
7682:8.94427 7953:6.08276
7845:9 7945:9.05539
7838:10.6301 7962:9.84886
7733:2.82843 7815:5
7900:11.1803 7999:4.12311
7708:6 7809:10
7690:4 7866:5
7822:4 7998:2.23607
7853:3.16228 7963:3.60555
7700:8.06226 7844:9.48683
7869:5 7893:6.7082
7861:9 7989:5.38516
7767:8.94427 7926:5.83095
7773:4 7806:3.16228
7702:6.40312 7833:2.23607
7897:10.0499 7995:8.544
7832:12.0416 7961:3.16228
7681:10.4403 7895:9.21954
7803:5 7944:10.198
7686:9.05539 7832:3.16228
7722:9.21954 7979:8.94427
7711:3.16228 7786:1
7676:8.60233 7831:6.7082
7876:5.83095 7964:5.83095
7747:7.2111 7881:9.05539
7749:3 7879:4.12311
7713:7.07107 7737:9.05539
7854:3 7885:2
7754:2 7941:5.38516
7909:5.83095 7990:7.07107
7701:5 7847:9.21954
7794:2.82843 7824:4.12311
7675:8.24621 7688:5
7776:6.7082 7997:3.60555
7796:9 7977:9.43398
7679:5 7758:8.94427
7795:11.0454 7878:9.48683
7805:5.83095 7994:4.24264
7833:8 7911:7.28011
7887:12 7983:10.198
7783:8.60233 7799:10.4403
7853:3 7905:5
7710:2 7963:6.7082
7777:1.41421 7948:6.7082
7754:3.60555 7756:5
7697:6.32456 7801:7.81025
7727:10 7741:5.83095
7803:7.28011 7987:7.2111
7711:5.09902 7845:1
7700:7.07107 7828:11.1803
7813:7.2111 7884:7.07107
7777:5.38516 7940:6.7082
7745:8.06226 7759:9.05539
7770:9.05539 7985:7.07107
7772:1 7993:8.06226
7714:2.23607 7989:4.24264
7682:3.60555 7897:6.08276
7730:5.65685 7858:2.82843
7756:5.09902 7885:5.65685
7792:11.6619 7934:11.6619
7797:8.06226 7865:7.81025
7796:9.21954 7889:11.0454
7743:6.40312 7840:7.07107
7713:3.16228 7737:1.41421
7832:9.21954 7913:3.16228
7838:3.16228 7840:7.07107
7853:4.12311 7905:3.60555
7770:4.12311 7920:5.83095
7830:5 7986:5
7676:12.0416 7919:9.21954
7681:3 7895:3
7715:5.09902 7895:10.6301
7851:3.60555 7971:2
7702:6.7082 7742:1
7851:5 7969:2
7789:4 7852:2.82843
7695:5.09902 7716:5
7683:7.2111 7720:3.16228
7851:3.60555 7969:4
7779:3 7849:5.83095
7798:7.61577 7894:8.544
7814:6.32456 7826:3.60555
7834:6.40312 7896:5.65685
7696:2.23607 7821:3.60555
7692:9.43398 7694:12.0416
7867:5 7925:10.0499
7887:2.82843 7995:4.47214
7787:4.12311 7819:13.9284
7741:5 7785:4.47214
7830:3.16228 7965:5
7855:7.2111 7944:7.2111
7846:5.38516 7987:11.1803
7908:5.38516 7952:4.24264
7739:3.60555 7811:1.41421
7726:9.05539 7836:5.09902
7764:8 7775:11.7047
7875:4 7951:8.06226
7805:10 7934:4.24264
7887:4.47214 7983:4.47214
7683:4.47214 7883:4.47214
7706:5.65685 7930:3.60555
7864:4.12311 7904:2.23607
7900:7.2111 7901:4.12311
8031:1.41421 8085:1.41421
8053:2.82843 8056:1
8004:2.23607 8154:2.23607
8020:1 8079:1.41421
8002:2.23607 8130:3.60555
8020:2 8120:1.41421
8071:1 8173:1.41421
8016:3 8017:1
8043:2.23607 8149:2.82843
8089:1.41421 8131:1
8113:2 8166:1
8005:2 8046:1
8083:1 8111:2.82843
8012:3 8094:3
8053:3.60555 8073:3
8016:2 8162:1.41421
8015:2 8162:1.41421
8007:1 8016:4
8039:1 8095:1
8128:1 8161:1.41421
8003:1 8079:1
8010:2 8084:1.41421
8038:2.23607 8152:3.60555
8120:1.41421 8130:1.41421
8153:2 8166:1.41421
8045:5 8103:5
8124:2 8164:2
8032:3.60555 8057:2
8075:2 8133:2
8086:1.41421 8092:1
8072:4.47214 8087:4.47214
8000:1.41421 8088:1.41421
8057:2.23607 8066:2.23607
8099:4.12311 8138:2.23607
8097:1.41421 8115:2
8045:6.08276 8065:5
8078:3.60555 8102:2
8131:3 8174:1.41421
8022:2.23607 8078:3.16228
8018:1 8095:1.41421
8047:1 8155:1
8116:1 8118:1.41421
8060:1 8143:1.41421
8008:2.23607 8172:2
8016:2.23607 8162:2.23607
8051:4.24264 8065:4.24264
8005:2.23607 8011:1
8040:1 8161:1.41421
8018:2.82843 8095:2.23607
8041:2 8116:2.23607
8122:1.41421 8127:3
8105:3.16228 8129:2.23607
8069:1 8075:2.23607
8056:2.23607 8119:2.23607
8055:1.41421 8132:2
8054:1.41421 8132:1.41421
8001:1 8053:2.23607
8027:2 8032:2.23607
8077:2.23607 8133:1.41421
8081:2.23607 8092:2
8042:1 8143:1
8108:2 8145:1
8082:4.12311 8106:2.23607
8071:4 8169:1
8011:2 8046:2.23607
8035:5 8045:4.24264
8124:2.23607 8163:1.41421
8034:2.23607 8097:2.23607
8080:1 8161:1
8052:1 8075:1.41421
8087:4.47214 8146:3.60555
8006:1 8173:1
8030:4.47214 8070:4.47214
8014:3 8167:3.16228
8132:3 8151:2.23607
8069:1.41421 8098:1
8041:2 8118:1.41421
8058:2.23607 8133:1
8038:3.16228 8102:3
8020:1 8137:1
8068:1 8161:1.41421
8059:2.23607 8092:2.23607
8062:4.12311 8106:2.82843
8012:1 8111:2.23607
8021:1.41421 8153:2.23607
8000:1.41421 8136:1
8029:1.41421 8092:2.23607
8096:1.41421 8172:2
8031:1.41421 8076:2.23607
8009:1.41421 8100:1
8073:5.09902 8148:4
8123:2 8159:1
8029:1 8059:2
8123:2.23607 8165:2
8013:3 8083:3.60555
8018:1 8039:1.41421
8087:1.41421 8172:1.41421
